legislator,rollcall,vote,yea,.rollcall_id,party,.legis_id
BURNS (R MT),1-94,1,TRUE,84,Republican,53
HAGEL (R NE),1-94,1,TRUE,84,Republican,54
NELSON (D NE),1-94,1,TRUE,84,Democratic,55
ENSIGN (R NV),1-94,1,TRUE,84,Republican,56
REID (D NV),1-94,1,TRUE,84,Democratic,57
GREGG (R NH),1-94,1,TRUE,84,Republican,58
SUNUNU (R NH),1-94,1,TRUE,84,Republican,59
CORZINE (D NJ),1-94,6,FALSE,84,Democratic,60
LAUTENBERG (D NJ),1-94,6,FALSE,84,Democratic,62
BINGAMAN (D NM),1-94,6,FALSE,84,Democratic,63
DOMENICI (R NM),1-94,1,TRUE,84,Republican,64
CLINTON (D NY),1-94,1,TRUE,84,Democratic,65
SCHUMER (D NY),1-94,1,TRUE,84,Democratic,66
BURR (R NC),1-94,1,TRUE,84,Republican,67
DOLE (R NC),1-94,1,TRUE,84,Republican,68
CONRAD (D ND),1-94,6,FALSE,84,Democratic,69
DORGAN (D ND),1-94,6,FALSE,84,Democratic,70
DEWINE (R OH),1-94,6,FALSE,84,Republican,71
VOINOVICH (R OH),1-94,6,FALSE,84,Republican,72
INHOFE (R OK),1-94,1,TRUE,84,Republican,73
COBURN (R OK),1-94,1,TRUE,84,Republican,74
SMITH (R OR),1-94,1,TRUE,84,Republican,75
WYDEN (D OR),1-94,1,TRUE,84,Democratic,76
SANTORUM (R PA),1-94,1,TRUE,84,Republican,77
SPECTER (R PA),1-94,1,TRUE,84,Republican,78
CHAFEE (R RI),1-94,1,TRUE,84,Republican,79
REED (D RI),1-94,6,FALSE,84,Democratic,80
DEMINT (R SC),1-94,1,TRUE,84,Republican,81
GRAHAM (R SC),1-94,1,TRUE,84,Republican,82
THUNE (R SD),1-94,1,TRUE,84,Republican,83
JOHNSON (D SD),1-94,6,FALSE,84,Democratic,84
FRIST (R TN),1-94,1,TRUE,84,Republican,85
ALEXANDER (R TN),1-94,1,TRUE,84,Republican,86
CORNYN (R TX),1-94,1,TRUE,84,Republican,87
HUTCHISON (R TX),1-94,1,TRUE,84,Republican,88
BENNETT (R UT),1-94,1,TRUE,84,Republican,89
HATCH (R UT),1-94,1,TRUE,84,Republican,90
JEFFORDS (Indep VT),1-94,6,FALSE,84,Independent,91
LEAHY (D VT),1-94,6,FALSE,84,Democratic,92
ALLEN (R VA),1-94,1,TRUE,84,Republican,93
WARNER (R VA),1-94,6,FALSE,84,Republican,94
CANTWELL (D WA),1-94,1,TRUE,84,Democratic,95
MURRAY (D WA),1-94,1,TRUE,84,Democratic,96
BYRD (D WV),1-94,1,TRUE,84,Democratic,97
ROCKEFELLER (D WV),1-94,6,FALSE,84,Democratic,98
FEINGOLD (D WI),1-94,6,FALSE,84,Democratic,99
KOHL (D WI),1-94,6,FALSE,84,Democratic,100
ENZI (R WY),1-94,1,TRUE,84,Republican,101
THOMAS (R WY),1-94,1,TRUE,84,Republican,102
SESSIONS (R AL),1-96,6,FALSE,85,Republican,2
SHELBY (R AL),1-96,6,FALSE,85,Republican,3
MURKOWSKI (R AK),1-96,6,FALSE,85,Republican,4
STEVENS (R AK),1-96,1,TRUE,85,Republican,5
KYL (R AZ),1-96,6,FALSE,85,Republican,6
MCCAIN (R AZ),1-96,1,TRUE,85,Republican,7
PRYOR (D AR),1-96,1,TRUE,85,Democratic,8
LINCOLN (D AR),1-96,1,TRUE,85,Democratic,9
BOXER (D CA),1-96,1,TRUE,85,Democratic,10
FEINSTEIN (D CA),1-96,1,TRUE,85,Democratic,11
ALLARD (R CO),1-96,6,FALSE,85,Republican,12
SALAZAR (D CO),1-96,1,TRUE,85,Democratic,13
DODD (D CT),1-96,1,TRUE,85,Democratic,14
LIEBERMAN (D CT),1-96,1,TRUE,85,Democratic,15
CARPER (D DE),1-96,1,TRUE,85,Democratic,17
MARTINEZ (R FL),1-96,6,FALSE,85,Republican,18
NELSON (D FL),1-96,1,TRUE,85,Democratic,19
CHAMBLISS (R GA),1-96,6,FALSE,85,Republican,20
ISAKSON (R GA),1-96,6,FALSE,85,Republican,21
AKAKA (D HI),1-96,1,TRUE,85,Democratic,22
INOUYE (D HI),1-96,1,TRUE,85,Democratic,23
CRAIG (R ID),1-96,1,TRUE,85,Republican,24
CRAPO (R ID),1-96,1,TRUE,85,Republican,25
BAYH (D IN),1-96,1,TRUE,85,Democratic,28
LUGAR (R IN),1-96,6,FALSE,85,Republican,29
GRASSLEY (R IA),1-96,6,FALSE,85,Republican,30
HARKIN (D IA),1-96,1,TRUE,85,Democratic,31
BROWNBACK (R KS),1-96,6,FALSE,85,Republican,32
ROBERTS (R KS),1-96,6,FALSE,85,Republican,33
BUNNING (R KY),1-96,6,FALSE,85,Republican,34
VITTER (R LA),1-96,6,FALSE,85,Republican,36
COLLINS (R ME),1-96,1,TRUE,85,Republican,38
SNOWE (R ME),1-96,1,TRUE,85,Republican,39
MIKULSKI (D MD),1-96,1,TRUE,85,Democratic,40
SARBANES (D MD),1-96,1,TRUE,85,Democratic,41
KENNEDY (D MA),1-96,1,TRUE,85,Democratic,42
STABENOW (D MI),1-96,1,TRUE,85,Democratic,44
LEVIN (D MI),1-96,1,TRUE,85,Democratic,45
DAYTON (D MN),1-96,1,TRUE,85,Democratic,46
COLEMAN (R MN),1-96,1,TRUE,85,Republican,47
COCHRAN (R MS),1-96,6,FALSE,85,Republican,48
LOTT (R MS),1-96,6,FALSE,85,Republican,49
TALENT (R MO),1-96,1,TRUE,85,Republican,50
BAUCUS (D MT),1-96,1,TRUE,85,Democratic,52
HAGEL (R NE),1-96,1,TRUE,85,Republican,54
NELSON (D NE),1-96,1,TRUE,85,Democratic,55
ENSIGN (R NV),1-96,6,FALSE,85,Republican,56
REID (D NV),1-96,1,TRUE,85,Democratic,57
GREGG (R NH),1-96,6,FALSE,85,Republican,58
SUNUNU (R NH),1-96,1,TRUE,85,Republican,59
CORZINE (D NJ),1-96,1,TRUE,85,Democratic,60
LAUTENBERG (D NJ),1-96,1,TRUE,85,Democratic,62
BINGAMAN (D NM),1-96,1,TRUE,85,Democratic,63
DOMENICI (R NM),1-96,6,FALSE,85,Republican,64
CLINTON (D NY),1-96,1,TRUE,85,Democratic,65
SCHUMER (D NY),1-96,1,TRUE,85,Democratic,66
BURR (R NC),1-96,6,FALSE,85,Republican,67
DOLE (R NC),1-96,6,FALSE,85,Republican,68
CONRAD (D ND),1-96,1,TRUE,85,Democratic,69
DORGAN (D ND),1-96,1,TRUE,85,Democratic,70
DEWINE (R OH),1-96,6,FALSE,85,Republican,71
VOINOVICH (R OH),1-96,1,TRUE,85,Republican,72
INHOFE (R OK),1-96,6,FALSE,85,Republican,73
COBURN (R OK),1-96,1,TRUE,85,Republican,74
SMITH (R OR),1-96,1,TRUE,85,Republican,75
WYDEN (D OR),1-96,1,TRUE,85,Democratic,76
SANTORUM (R PA),1-96,6,FALSE,85,Republican,77
SPECTER (R PA),1-96,1,TRUE,85,Republican,78
CHAFEE (R RI),1-96,1,TRUE,85,Republican,79
REED (D RI),1-96,1,TRUE,85,Democratic,80
DEMINT (R SC),1-96,6,FALSE,85,Republican,81
GRAHAM (R SC),1-96,6,FALSE,85,Republican,82
THUNE (R SD),1-96,1,TRUE,85,Republican,83
JOHNSON (D SD),1-96,1,TRUE,85,Democratic,84
FRIST (R TN),1-96,6,FALSE,85,Republican,85
ALEXANDER (R TN),1-96,6,FALSE,85,Republican,86
CORNYN (R TX),1-96,6,FALSE,85,Republican,87
HUTCHISON (R TX),1-96,1,TRUE,85,Republican,88
BENNETT (R UT),1-96,1,TRUE,85,Republican,89
HATCH (R UT),1-96,1,TRUE,85,Republican,90
JEFFORDS (Indep VT),1-96,1,TRUE,85,Independent,91
LEAHY (D VT),1-96,1,TRUE,85,Democratic,92
ALLEN (R VA),1-96,1,TRUE,85,Republican,93
WARNER (R VA),1-96,1,TRUE,85,Republican,94
CANTWELL (D WA),1-96,1,TRUE,85,Democratic,95
MURRAY (D WA),1-96,1,TRUE,85,Democratic,96
BYRD (D WV),1-96,1,TRUE,85,Democratic,97
ROCKEFELLER (D WV),1-96,1,TRUE,85,Democratic,98
FEINGOLD (D WI),1-96,1,TRUE,85,Democratic,99
KOHL (D WI),1-96,1,TRUE,85,Democratic,100
ENZI (R WY),1-96,6,FALSE,85,Republican,101
THOMAS (R WY),1-96,6,FALSE,85,Republican,102
SESSIONS (R AL),1-97,6,FALSE,86,Republican,2
SHELBY (R AL),1-97,6,FALSE,86,Republican,3
MURKOWSKI (R AK),1-97,6,FALSE,86,Republican,4
STEVENS (R AK),1-97,1,TRUE,86,Republican,5
KYL (R AZ),1-97,1,TRUE,86,Republican,6
MCCAIN (R AZ),1-97,6,FALSE,86,Republican,7
PRYOR (D AR),1-97,6,FALSE,86,Democratic,8
LINCOLN (D AR),1-97,6,FALSE,86,Democratic,9
BOXER (D CA),1-97,6,FALSE,86,Democratic,10
FEINSTEIN (D CA),1-97,6,FALSE,86,Democratic,11
ALLARD (R CO),1-97,1,TRUE,86,Republican,12
SALAZAR (D CO),1-97,1,TRUE,86,Democratic,13
DODD (D CT),1-97,6,FALSE,86,Democratic,14
LIEBERMAN (D CT),1-97,6,FALSE,86,Democratic,15
BIDEN (D DE),1-97,6,FALSE,86,Democratic,16
CARPER (D DE),1-97,6,FALSE,86,Democratic,17
MARTINEZ (R FL),1-97,6,FALSE,86,Republican,18
NELSON (D FL),1-97,6,FALSE,86,Democratic,19
CHAMBLISS (R GA),1-97,1,TRUE,86,Republican,20
ISAKSON (R GA),1-97,6,FALSE,86,Republican,21
AKAKA (D HI),1-97,6,FALSE,86,Democratic,22
INOUYE (D HI),1-97,6,FALSE,86,Democratic,23
CRAIG (R ID),1-97,6,FALSE,86,Republican,24
CRAPO (R ID),1-97,6,FALSE,86,Republican,25
BAYH (D IN),1-97,6,FALSE,86,Democratic,28
LUGAR (R IN),1-97,6,FALSE,86,Republican,29
GRASSLEY (R IA),1-97,1,TRUE,86,Republican,30
HARKIN (D IA),1-97,6,FALSE,86,Democratic,31
BROWNBACK (R KS),1-97,6,FALSE,86,Republican,32
ROBERTS (R KS),1-97,6,FALSE,86,Republican,33
BUNNING (R KY),1-97,6,FALSE,86,Republican,34
MCCONNELL (R KY),1-97,6,FALSE,86,Republican,35
VITTER (R LA),1-97,6,FALSE,86,Republican,36
LANDRIEU (D LA),1-97,1,TRUE,86,Democratic,37
COLLINS (R ME),1-97,1,TRUE,86,Republican,38
SNOWE (R ME),1-97,6,FALSE,86,Republican,39
MIKULSKI (D MD),1-97,6,FALSE,86,Democratic,40
SARBANES (D MD),1-97,6,FALSE,86,Democratic,41
KENNEDY (D MA),1-97,6,FALSE,86,Democratic,42
KERRY (D MA),1-97,6,FALSE,86,Democratic,43
STABENOW (D MI),1-97,6,FALSE,86,Democratic,44
LEVIN (D MI),1-97,6,FALSE,86,Democratic,45
DAYTON (D MN),1-97,6,FALSE,86,Democratic,46
COLEMAN (R MN),1-97,6,FALSE,86,Republican,47
COCHRAN (R MS),1-97,1,TRUE,86,Republican,48
LOTT (R MS),1-97,1,TRUE,86,Republican,49
TALENT (R MO),1-97,6,FALSE,86,Republican,50
BOND (R MO),1-97,1,TRUE,86,Republican,51
BAUCUS (D MT),1-97,6,FALSE,86,Democratic,52
BURNS (R MT),1-97,1,TRUE,86,Republican,53
HAGEL (R NE),1-97,6,FALSE,86,Republican,54
NELSON (D NE),1-97,6,FALSE,86,Democratic,55
ENSIGN (R NV),1-97,6,FALSE,86,Republican,56
REID (D NV),1-97,6,FALSE,86,Democratic,57
GREGG (R NH),1-97,1,TRUE,86,Republican,58
SUNUNU (R NH),1-97,1,TRUE,86,Republican,59
CORZINE (D NJ),1-97,6,FALSE,86,Democratic,60
LAUTENBERG (D NJ),1-97,6,FALSE,86,Democratic,62
BINGAMAN (D NM),1-97,6,FALSE,86,Democratic,63
DOMENICI (R NM),1-97,6,FALSE,86,Republican,64
CLINTON (D NY),1-97,6,FALSE,86,Democratic,65
SCHUMER (D NY),1-97,6,FALSE,86,Democratic,66
BURR (R NC),1-97,1,TRUE,86,Republican,67
DOLE (R NC),1-97,1,TRUE,86,Republican,68
CONRAD (D ND),1-97,6,FALSE,86,Democratic,69
DORGAN (D ND),1-97,6,FALSE,86,Democratic,70
DEWINE (R OH),1-97,6,FALSE,86,Republican,71
VOINOVICH (R OH),1-97,6,FALSE,86,Republican,72
INHOFE (R OK),1-97,6,FALSE,86,Republican,73
COBURN (R OK),1-97,6,FALSE,86,Republican,74
SMITH (R OR),1-97,6,FALSE,86,Republican,75
WYDEN (D OR),1-97,6,FALSE,86,Democratic,76
SANTORUM (R PA),1-97,1,TRUE,86,Republican,77
SPECTER (R PA),1-97,6,FALSE,86,Republican,78
CHAFEE (R RI),1-97,6,FALSE,86,Republican,79
REED (D RI),1-97,6,FALSE,86,Democratic,80
DEMINT (R SC),1-97,1,TRUE,86,Republican,81
GRAHAM (R SC),1-97,1,TRUE,86,Republican,82
THUNE (R SD),1-97,6,FALSE,86,Republican,83
JOHNSON (D SD),1-97,6,FALSE,86,Democratic,84
FRIST (R TN),1-97,6,FALSE,86,Republican,85
ALEXANDER (R TN),1-97,6,FALSE,86,Republican,86
CORNYN (R TX),1-97,6,FALSE,86,Republican,87
HUTCHISON (R TX),1-97,6,FALSE,86,Republican,88
BENNETT (R UT),1-97,6,FALSE,86,Republican,89
HATCH (R UT),1-97,6,FALSE,86,Republican,90
JEFFORDS (Indep VT),1-97,6,FALSE,86,Independent,91
LEAHY (D VT),1-97,6,FALSE,86,Democratic,92
ALLEN (R VA),1-97,6,FALSE,86,Republican,93
WARNER (R VA),1-97,1,TRUE,86,Republican,94
CANTWELL (D WA),1-97,6,FALSE,86,Democratic,95
MURRAY (D WA),1-97,6,FALSE,86,Democratic,96
BYRD (D WV),1-97,6,FALSE,86,Democratic,97
ROCKEFELLER (D WV),1-97,6,FALSE,86,Democratic,98
FEINGOLD (D WI),1-97,6,FALSE,86,Democratic,99
KOHL (D WI),1-97,6,FALSE,86,Democratic,100
ENZI (R WY),1-97,6,FALSE,86,Republican,101
THOMAS (R WY),1-97,1,TRUE,86,Republican,102
SESSIONS (R AL),1-98,6,FALSE,87,Republican,2
SHELBY (R AL),1-98,6,FALSE,87,Republican,3
MURKOWSKI (R AK),1-98,6,FALSE,87,Republican,4
STEVENS (R AK),1-98,6,FALSE,87,Republican,5
KYL (R AZ),1-98,6,FALSE,87,Republican,6
MCCAIN (R AZ),1-98,1,TRUE,87,Republican,7
PRYOR (D AR),1-98,1,TRUE,87,Democratic,8
LINCOLN (D AR),1-98,1,TRUE,87,Democratic,9
BOXER (D CA),1-98,1,TRUE,87,Democratic,10
FEINSTEIN (D CA),1-98,6,FALSE,87,Democratic,11
ALLARD (R CO),1-98,6,FALSE,87,Republican,12
SALAZAR (D CO),1-98,1,TRUE,87,Democratic,13
DODD (D CT),1-98,1,TRUE,87,Democratic,14
LIEBERMAN (D CT),1-98,1,TRUE,87,Democratic,15
BIDEN (D DE),1-98,1,TRUE,87,Democratic,16
CARPER (D DE),1-98,1,TRUE,87,Democratic,17
MARTINEZ (R FL),1-98,1,TRUE,87,Republican,18
NELSON (D FL),1-98,1,TRUE,87,Democratic,19
CHAMBLISS (R GA),1-98,6,FALSE,87,Republican,20
ISAKSON (R GA),1-98,6,FALSE,87,Republican,21
AKAKA (D HI),1-98,1,TRUE,87,Democratic,22
INOUYE (D HI),1-98,1,TRUE,87,Democratic,23
CRAIG (R ID),1-98,1,TRUE,87,Republican,24
CRAPO (R ID),1-98,6,FALSE,87,Republican,25
BAYH (D IN),1-98,1,TRUE,87,Democratic,28
LUGAR (R IN),1-98,1,TRUE,87,Republican,29
GRASSLEY (R IA),1-98,6,FALSE,87,Republican,30
HARKIN (D IA),1-98,1,TRUE,87,Democratic,31
BROWNBACK (R KS),1-98,6,FALSE,87,Republican,32
ROBERTS (R KS),1-98,6,FALSE,87,Republican,33
BUNNING (R KY),1-98,6,FALSE,87,Republican,34
MCCONNELL (R KY),1-98,6,FALSE,87,Republican,35
VITTER (R LA),1-98,6,FALSE,87,Republican,36
LANDRIEU (D LA),1-98,1,TRUE,87,Democratic,37
COLLINS (R ME),1-98,6,FALSE,87,Republican,38
SNOWE (R ME),1-98,1,TRUE,87,Republican,39
MIKULSKI (D MD),1-98,1,TRUE,87,Democratic,40
SARBANES (D MD),1-98,1,TRUE,87,Democratic,41
KENNEDY (D MA),1-98,1,TRUE,87,Democratic,42
KERRY (D MA),1-98,1,TRUE,87,Democratic,43
STABENOW (D MI),1-98,1,TRUE,87,Democratic,44
LEVIN (D MI),1-98,1,TRUE,87,Democratic,45
DAYTON (D MN),1-98,1,TRUE,87,Democratic,46
COLEMAN (R MN),1-98,1,TRUE,87,Republican,47
COCHRAN (R MS),1-98,6,FALSE,87,Republican,48
LOTT (R MS),1-98,6,FALSE,87,Republican,49
TALENT (R MO),1-98,6,FALSE,87,Republican,50
BOND (R MO),1-98,6,FALSE,87,Republican,51
BAUCUS (D MT),1-98,1,TRUE,87,Democratic,52
BURNS (R MT),1-98,1,TRUE,87,Republican,53
HAGEL (R NE),1-98,1,TRUE,87,Republican,54
NELSON (D NE),1-98,1,TRUE,87,Democratic,55
ENSIGN (R NV),1-98,6,FALSE,87,Republican,56
REID (D NV),1-98,1,TRUE,87,Democratic,57
GREGG (R NH),1-98,6,FALSE,87,Republican,58
SUNUNU (R NH),1-98,6,FALSE,87,Republican,59
CORZINE (D NJ),1-98,1,TRUE,87,Democratic,60
LAUTENBERG (D NJ),1-98,1,TRUE,87,Democratic,62
BINGAMAN (D NM),1-98,1,TRUE,87,Democratic,63
DOMENICI (R NM),1-98,1,TRUE,87,Republican,64
CLINTON (D NY),1-98,1,TRUE,87,Democratic,65
SCHUMER (D NY),1-98,1,TRUE,87,Democratic,66
BURR (R NC),1-98,6,FALSE,87,Republican,67
DOLE (R NC),1-98,6,FALSE,87,Republican,68
CONRAD (D ND),1-98,6,FALSE,87,Democratic,69
DORGAN (D ND),1-98,6,FALSE,87,Democratic,70
DEWINE (R OH),1-98,1,TRUE,87,Republican,71
VOINOVICH (R OH),1-98,1,TRUE,87,Republican,72
INHOFE (R OK),1-98,6,FALSE,87,Republican,73
COBURN (R OK),1-98,6,FALSE,87,Republican,74
SMITH (R OR),1-98,1,TRUE,87,Republican,75
WYDEN (D OR),1-98,1,TRUE,87,Democratic,76
SANTORUM (R PA),1-98,6,FALSE,87,Republican,77
SPECTER (R PA),1-98,1,TRUE,87,Republican,78
CHAFEE (R RI),1-98,1,TRUE,87,Republican,79
REED (D RI),1-98,1,TRUE,87,Democratic,80
DEMINT (R SC),1-98,6,FALSE,87,Republican,81
GRAHAM (R SC),1-98,6,FALSE,87,Republican,82
THUNE (R SD),1-98,6,FALSE,87,Republican,83
JOHNSON (D SD),1-98,1,TRUE,87,Democratic,84
FRIST (R TN),1-98,6,FALSE,87,Republican,85
ALEXANDER (R TN),1-98,6,FALSE,87,Republican,86
CORNYN (R TX),1-98,6,FALSE,87,Republican,87
HUTCHISON (R TX),1-98,6,FALSE,87,Republican,88
BENNETT (R UT),1-98,6,FALSE,87,Republican,89
HATCH (R UT),1-98,6,FALSE,87,Republican,90
JEFFORDS (Indep VT),1-98,1,TRUE,87,Independent,91
LEAHY (D VT),1-98,1,TRUE,87,Democratic,92
ALLEN (R VA),1-98,6,FALSE,87,Republican,93
WARNER (R VA),1-98,1,TRUE,87,Republican,94
CANTWELL (D WA),1-98,1,TRUE,87,Democratic,95
MURRAY (D WA),1-98,1,TRUE,87,Democratic,96
BYRD (D WV),1-98,6,FALSE,87,Democratic,97
ROCKEFELLER (D WV),1-98,6,FALSE,87,Democratic,98
FEINGOLD (D WI),1-98,1,TRUE,87,Democratic,99
KOHL (D WI),1-98,1,TRUE,87,Democratic,100
ENZI (R WY),1-98,6,FALSE,87,Republican,101
THOMAS (R WY),1-98,6,FALSE,87,Republican,102
SESSIONS (R AL),1-99,1,TRUE,88,Republican,2
SHELBY (R AL),1-99,1,TRUE,88,Republican,3
MURKOWSKI (R AK),1-99,1,TRUE,88,Republican,4
STEVENS (R AK),1-99,1,TRUE,88,Republican,5
KYL (R AZ),1-99,1,TRUE,88,Republican,6
MCCAIN (R AZ),1-99,1,TRUE,88,Republican,7
PRYOR (D AR),1-99,1,TRUE,88,Democratic,8
LINCOLN (D AR),1-99,1,TRUE,88,Democratic,9
BOXER (D CA),1-99,6,FALSE,88,Democratic,10
FEINSTEIN (D CA),1-99,1,TRUE,88,Democratic,11
ALLARD (R CO),1-99,1,TRUE,88,Republican,12
SALAZAR (D CO),1-99,1,TRUE,88,Democratic,13
DODD (D CT),1-99,6,FALSE,88,Democratic,14
LIEBERMAN (D CT),1-99,1,TRUE,88,Democratic,15
BIDEN (D DE),1-99,1,TRUE,88,Democratic,16
CARPER (D DE),1-99,1,TRUE,88,Democratic,17
MARTINEZ (R FL),1-99,1,TRUE,88,Republican,18
NELSON (D FL),1-99,1,TRUE,88,Democratic,19
CHAMBLISS (R GA),1-99,1,TRUE,88,Republican,20
ISAKSON (R GA),1-99,1,TRUE,88,Republican,21
AKAKA (D HI),1-99,1,TRUE,88,Democratic,22
INOUYE (D HI),1-99,1,TRUE,88,Democratic,23
CRAIG (R ID),1-99,1,TRUE,88,Republican,24
CRAPO (R ID),1-99,1,TRUE,88,Republican,25
BAYH (D IN),1-99,1,TRUE,88,Democratic,28
LUGAR (R IN),1-99,1,TRUE,88,Republican,29
GRASSLEY (R IA),1-99,1,TRUE,88,Republican,30
HARKIN (D IA),1-99,1,TRUE,88,Democratic,31
BROWNBACK (R KS),1-99,1,TRUE,88,Republican,32
ROBERTS (R KS),1-99,1,TRUE,88,Republican,33
BUNNING (R KY),1-99,1,TRUE,88,Republican,34
MCCONNELL (R KY),1-99,1,TRUE,88,Republican,35
VITTER (R LA),1-99,1,TRUE,88,Republican,36
LANDRIEU (D LA),1-99,1,TRUE,88,Democratic,37
COLLINS (R ME),1-99,1,TRUE,88,Republican,38
SNOWE (R ME),1-99,1,TRUE,88,Republican,39
MIKULSKI (D MD),1-99,6,FALSE,88,Democratic,40
SARBANES (D MD),1-99,1,TRUE,88,Democratic,41
KENNEDY (D MA),1-99,1,TRUE,88,Democratic,42
KERRY (D MA),1-99,1,TRUE,88,Democratic,43
STABENOW (D MI),1-99,1,TRUE,88,Democratic,44
LEVIN (D MI),1-99,1,TRUE,88,Democratic,45
DAYTON (D MN),1-99,1,TRUE,88,Democratic,46
COLEMAN (R MN),1-99,1,TRUE,88,Republican,47
COCHRAN (R MS),1-99,1,TRUE,88,Republican,48
LOTT (R MS),1-99,1,TRUE,88,Republican,49
TALENT (R MO),1-99,1,TRUE,88,Republican,50
BOND (R MO),1-99,1,TRUE,88,Republican,51
BAUCUS (D MT),1-99,6,FALSE,88,Democratic,52
BURNS (R MT),1-99,1,TRUE,88,Republican,53
HAGEL (R NE),1-99,1,TRUE,88,Republican,54
NELSON (D NE),1-99,1,TRUE,88,Democratic,55
ENSIGN (R NV),1-99,1,TRUE,88,Republican,56
REID (D NV),1-99,1,TRUE,88,Democratic,57
GREGG (R NH),1-99,1,TRUE,88,Republican,58
SUNUNU (R NH),1-99,1,TRUE,88,Republican,59
CORZINE (D NJ),1-99,1,TRUE,88,Democratic,60
LAUTENBERG (D NJ),1-99,1,TRUE,88,Democratic,62
BINGAMAN (D NM),1-99,1,TRUE,88,Democratic,63
DOMENICI (R NM),1-99,1,TRUE,88,Republican,64
CLINTON (D NY),1-99,1,TRUE,88,Democratic,65
SCHUMER (D NY),1-99,1,TRUE,88,Democratic,66
BURR (R NC),1-99,1,TRUE,88,Republican,67
DOLE (R NC),1-99,1,TRUE,88,Republican,68
CONRAD (D ND),1-99,1,TRUE,88,Democratic,69
DORGAN (D ND),1-99,1,TRUE,88,Democratic,70
DEWINE (R OH),1-99,1,TRUE,88,Republican,71
VOINOVICH (R OH),1-99,1,TRUE,88,Republican,72
INHOFE (R OK),1-99,1,TRUE,88,Republican,73
COBURN (R OK),1-99,1,TRUE,88,Republican,74
SMITH (R OR),1-99,1,TRUE,88,Republican,75
WYDEN (D OR),1-99,1,TRUE,88,Democratic,76
SANTORUM (R PA),1-99,1,TRUE,88,Republican,77
SPECTER (R PA),1-99,1,TRUE,88,Republican,78
CHAFEE (R RI),1-99,1,TRUE,88,Republican,79
REED (D RI),1-99,1,TRUE,88,Democratic,80
DEMINT (R SC),1-99,1,TRUE,88,Republican,81
GRAHAM (R SC),1-99,1,TRUE,88,Republican,82
THUNE (R SD),1-99,1,TRUE,88,Republican,83
JOHNSON (D SD),1-99,1,TRUE,88,Democratic,84
FRIST (R TN),1-99,1,TRUE,88,Republican,85
ALEXANDER (R TN),1-99,1,TRUE,88,Republican,86
CORNYN (R TX),1-99,1,TRUE,88,Republican,87
HUTCHISON (R TX),1-99,1,TRUE,88,Republican,88
BENNETT (R UT),1-99,1,TRUE,88,Republican,89
HATCH (R UT),1-99,1,TRUE,88,Republican,90
JEFFORDS (Indep VT),1-99,1,TRUE,88,Independent,91
LEAHY (D VT),1-99,6,FALSE,88,Democratic,92
ALLEN (R VA),1-99,6,FALSE,88,Republican,93
WARNER (R VA),1-99,1,TRUE,88,Republican,94
CANTWELL (D WA),1-99,1,TRUE,88,Democratic,95
MURRAY (D WA),1-99,1,TRUE,88,Democratic,96
BYRD (D WV),1-99,1,TRUE,88,Democratic,97
ROCKEFELLER (D WV),1-99,1,TRUE,88,Democratic,98
FEINGOLD (D WI),1-99,6,FALSE,88,Democratic,99
KOHL (D WI),1-99,1,TRUE,88,Democratic,100
ENZI (R WY),1-99,1,TRUE,88,Republican,101
THOMAS (R WY),1-99,1,TRUE,88,Republican,102
SESSIONS (R AL),1-100,1,TRUE,89,Republican,2
SHELBY (R AL),1-100,1,TRUE,89,Republican,3
MURKOWSKI (R AK),1-100,1,TRUE,89,Republican,4
STEVENS (R AK),1-100,1,TRUE,89,Republican,5
KYL (R AZ),1-100,1,TRUE,89,Republican,6
MCCAIN (R AZ),1-100,1,TRUE,89,Republican,7
PRYOR (D AR),1-100,6,FALSE,89,Democratic,8
LINCOLN (D AR),1-100,6,FALSE,89,Democratic,9
BOXER (D CA),1-100,6,FALSE,89,Democratic,10
FEINSTEIN (D CA),1-100,6,FALSE,89,Democratic,11
ALLARD (R CO),1-100,1,TRUE,89,Republican,12
SALAZAR (D CO),1-100,6,FALSE,89,Democratic,13
DODD (D CT),1-100,6,FALSE,89,Democratic,14
LIEBERMAN (D CT),1-100,6,FALSE,89,Democratic,15
BIDEN (D DE),1-100,6,FALSE,89,Democratic,16
CARPER (D DE),1-100,6,FALSE,89,Democratic,17
MARTINEZ (R FL),1-100,1,TRUE,89,Republican,18
NELSON (D FL),1-100,6,FALSE,89,Democratic,19
CHAMBLISS (R GA),1-100,1,TRUE,89,Republican,20
ISAKSON (R GA),1-100,1,TRUE,89,Republican,21
AKAKA (D HI),1-100,6,FALSE,89,Democratic,22
INOUYE (D HI),1-100,6,FALSE,89,Democratic,23
CRAIG (R ID),1-100,1,TRUE,89,Republican,24
CRAPO (R ID),1-100,1,TRUE,89,Republican,25
BAYH (D IN),1-100,6,FALSE,89,Democratic,28
LUGAR (R IN),1-100,1,TRUE,89,Republican,29
GRASSLEY (R IA),1-100,1,TRUE,89,Republican,30
HARKIN (D IA),1-100,6,FALSE,89,Democratic,31
BROWNBACK (R KS),1-100,1,TRUE,89,Republican,32
ROBERTS (R KS),1-100,1,TRUE,89,Republican,33
BUNNING (R KY),1-100,1,TRUE,89,Republican,34
MCCONNELL (R KY),1-100,1,TRUE,89,Republican,35
VITTER (R LA),1-100,1,TRUE,89,Republican,36
LANDRIEU (D LA),1-100,6,FALSE,89,Democratic,37
